bench,size,mode,skew,median_mtxn_s,n_reps
ycsba,120B,cpu_only,0.01,8.949346697691068,3
ycsba,120B,cpu_only,0.2,9.094491769484948,3
ycsba,120B,cpu_only,0.4,8.535821999658568,3
ycsba,120B,cpu_only,0.6,8.272438990762444,3
ycsba,120B,cpu_only,0.8,8.527814889564798,3
ycsba,120B,cpu_only,0.99,3.9424921807238418,3
ycsba,120B,hybrid_staging,0.01,7.421076847724451,3
ycsba,120B,hybrid_staging,0.2,8.139036446605209,3
ycsba,120B,hybrid_staging,0.4,8.756235169126683,3
ycsba,120B,hybrid_staging,0.6,9.28686187650331,3
ycsba,120B,hybrid_staging,0.8,10.603741706990341,3
ycsba,120B,hybrid_staging,0.99,5.052010447557606,3
ycsbb,120B,cpu_only,0.01,12.047007716789949,10
ycsbb,120B,cpu_only,0.2,11.977482333213558,3
ycsbb,120B,cpu_only,0.4,11.927955150888632,3
ycsbb,120B,cpu_only,0.6,11.203226529240421,3
ycsbb,120B,cpu_only,0.8,8.922463789667788,3
ycsbb,120B,cpu_only,0.99,7.858340318524728,3
ycsbb,120B,hybrid_staging,0.01,9.522811895896622,3
ycsbb,120B,hybrid_staging,0.2,9.699634647094959,3
ycsbb,120B,hybrid_staging,0.4,10.578540372999335,3
ycsbb,120B,hybrid_staging,0.6,12.375778127049736,3
ycsbb,120B,hybrid_staging,0.8,19.57062058437873,3
ycsbb,120B,hybrid_staging,0.99,24.332084286339967,3
ycsbc,120B,cpu_only,0.01,13.125082031762698,3
ycsbc,120B,cpu_only,0.2,13.229263130043657,3
ycsbc,120B,cpu_only,0.4,13.574660633484163,3
ycsbc,120B,cpu_only,0.6,13.75831231368952,3
ycsbc,120B,cpu_only,0.8,12.219959266802444,3
ycsbc,120B,cpu_only,0.99,13.6823862081547,3
ycsbc,120B,hybrid_staging,0.01,10.830833215999307,3
ycsbc,120B,hybrid_staging,0.2,11.039030331575676,3
ycsbc,120B,hybrid_staging,0.4,12.62456234850525,3
ycsbc,120B,hybrid_staging,0.6,14.377525052837404,3
ycsbc,120B,hybrid_staging,0.8,22.799124513618676,3
ycsbc,120B,hybrid_staging,0.99,39.993601023836185,3
ycsbf,120B,cpu_only,0.01,9.016861531063087,3
ycsbf,120B,cpu_only,0.2,8.58000858000858,3
ycsbf,120B,cpu_only,0.4,8.723719794120212,3
ycsbf,120B,cpu_only,0.6,8.269930532583526,3
ycsbf,120B,cpu_only,0.8,5.71548324410829,3
ycsbf,120B,cpu_only,0.99,3.922337713277113,3
ycsbf,120B,hybrid_staging,0.01,6.565039849791888,3
ycsbf,120B,hybrid_staging,0.2,7.731739564084523,3
ycsbf,120B,hybrid_staging,0.4,8.171069511288334,3
ycsbf,120B,hybrid_staging,0.6,8.384806730204868,3
ycsbf,120B,hybrid_staging,0.8,10.307471886370429,3
ycsbf,120B,hybrid_staging,0.99,5.060284860302403,3
