config,mode,skew,median_mtxn_s,min_mtxn_s,max_mtxn_s,n_reps
rFfT,cpu_only,0.01,9.480727036324728,9.461,9.489,3
rFfT,cpu_only,0.2,9.387027128508402,8.988,9.523,3
rFfT,cpu_only,0.4,9.539124035867106,9.521,9.553,3
rFfT,cpu_only,0.6,9.135360032228956,5.25,9.447,10
rFfT,cpu_only,0.8,8.577068043290744,3.076,9.034,10
rFfT,cpu_only,0.99,9.194677595197751,9.162,9.241,3
rFfT,hybrid_staging,0.01,9.504769810316477,9.443,9.55,3
rFfT,hybrid_staging,0.2,9.574967205737321,9.496,10.019,3
rFfT,hybrid_staging,0.4,10.257988408473096,8.987,10.621,3
rFfT,hybrid_staging,0.6,12.031570841889117,9.923,12.199,3
rFfT,hybrid_staging,0.8,15.843424714686327,15.143,15.877,3
rFfT,hybrid_staging,0.99,17.305229640397325,16.938,17.633,3
rTfF,cpu_only,0.01,8.98334231667565,7.38,9.181,3
rTfF,cpu_only,0.2,9.032840828440545,8.974,9.036,3
rTfF,cpu_only,0.4,8.767644885331732,7.866,8.802,3
rTfF,cpu_only,0.6,8.532111209975255,8.518,8.619,3
rTfF,cpu_only,0.8,7.509882474365981,1.659,8.679,10
rTfF,cpu_only,0.99,3.9229312142032526,3.92,4.785,3
rTfF,hybrid_staging,0.01,8.100314292194536,6.916,8.161,3
rTfF,hybrid_staging,0.2,8.2160717317836,8.213,8.234,3
rTfF,hybrid_staging,0.4,8.145223912205347,7.412,9.182,3
rTfF,hybrid_staging,0.6,10.299226871369521,10.221,10.482,3
rTfF,hybrid_staging,0.8,11.506420582685138,10.245,11.597,3
rTfF,hybrid_staging,0.99,5.017443980237961,4.925,5.039,3
rTfT,cpu_only,0.01,2.9890004782400763,2.953,3.137,3
rTfT,cpu_only,0.2,3.1646714166877645,3.088,3.167,3
rTfT,cpu_only,0.4,3.1202777938744486,3.093,3.18,3
rTfT,cpu_only,0.6,3.2235187931145632,3.124,3.23,3
rTfT,cpu_only,0.8,3.4744282083862768,3.393,3.482,3
rTfT,cpu_only,0.99,3.796919071382079,2.46,3.867,3
rTfT,hybrid_staging,0.01,1.942281857468883,1.932,1.955,3
rTfT,hybrid_staging,0.2,2.099462747482919,2.07,2.107,3
rTfT,hybrid_staging,0.4,2.292458042286681,2.2,2.3,3
rTfT,hybrid_staging,0.6,2.6208403986822413,2.566,2.65,3
rTfT,hybrid_staging,0.8,3.4967154186500813,3.477,3.596,3
rTfT,hybrid_staging,0.99,2.079039539173956,2.074,2.088,3
