workload,series,epoch_size,tput_mean_mtxns,tput_std_mtxns,latency_ms_15x,n_reps
ycsbf,egad,5000,3.391,0.041,2.21,3
ycsbf,egad,10000,4.738,0.14,3.17,3
ycsbf,egad,25000,6.195,0.019,6.05,3
ycsbf,egad,50000,7.694,0.388,9.76,3
ycsbf,egad,100000,9.365,0.38,16.03,3
ycsbf,egad,200000,10.229,0.707,29.42,3
ycsbf,egad,400000,12.019,0.037,49.92,3
ycsbf,gpu,5000,21.908,0.114,0.34,3
ycsbf,gpu,10000,30.344,0.06,0.49,3
ycsbf,gpu,25000,38.145,0.092,0.98,3
ycsbf,gpu,50000,38.245,0.061,1.96,3
ycsbf,gpu,100000,39.615,0.047,3.79,3
ycsbf,gpu,200000,37.386,0.113,8.02,3
ycsbf,gpu,400000,36.003,0.068,16.67,3
ycsbf,cpu,5000,3.39,0.055,2.21,3
ycsbf,cpu,10000,5.325,0.076,2.82,3
ycsbf,cpu,25000,7.566,0.014,4.96,3
ycsbf,cpu,50000,8.1,0.431,9.28,3
ycsbf,cpu,100000,8.644,0.005,17.35,3
ycsbf,cpu,200000,8.889,0.008,33.75,3
ycsbf,cpu,400000,8.949,0.025,67.05,3
tpccdeck,egad,5000,1.413,0.004,5.31,3
tpccdeck,egad,25000,5.032,0.001,7.45,3
tpccdeck,egad,100000,9.123,0.01,16.44,3
tpccdeck,egad,400000,9.979,0.114,60.13,3
tpccdeck,gpu,5000,3.417,0.017,2.19,3
tpccdeck,gpu,25000,12.022,0.002,3.12,3
tpccdeck,gpu,100000,19.02,0.016,7.89,3
tpccdeck,gpu,400000,17.962,0.014,33.4,3
tpccdeck,cpu,5000,1.593,0.03,4.71,3
tpccdeck,cpu,25000,4.272,0.047,8.78,3
tpccdeck,cpu,100000,6.088,0.278,24.67,3
tpccdeck,cpu,400000,6.405,0.149,93.71,3
