panel,lane,kind,start_ms,dur_ms
async,main,index_transfer,0.0,0.957
async,main,indexing,0.96,0.372
async,main,submission,1.334,0.183
async,main,staging,1.52,0.873
async,main,admission_transfer,2.393,4.611
async,main,staging,7.004,0.252
async,main,initialization,7.257,0.613
async,main,execution,7.873,1.643
async,main,wb_handoff,9.542,0.753
async,main,index_transfer,10.297,0.832
async,main,indexing,11.132,0.367
async,main,submission,11.501,0.182
async,main,staging,11.687,0.886
async,main,admission_transfer,12.573,4.612
async,main,staging,17.185,0.245
async,main,initialization,17.431,0.625
async,main,execution,18.059,1.644
async,main,wb_handoff,19.743,0.758
async,main,index_transfer,20.503,0.921
async,main,indexing,21.427,0.386
async,main,submission,21.816,0.2
async,worker,wb_half,0.083,3.157
async,worker,wb_wait,3.24,3.778
async,worker,wb_half,7.018,1.946
async,worker,wb_half,10.37,2.953
async,worker,wb_wait,13.323,3.875
async,worker,wb_half,17.198,1.934
sync,main,index_transfer,0.0,0.266
sync,main,indexing,0.268,0.321
sync,main,submission,0.591,0.186
sync,main,staging,0.78,0.666
sync,main,admission_transfer,1.446,4.289
sync,main,staging,5.735,0.228
sync,main,initialization,5.964,0.605
sync,main,execution,6.572,1.63
sync,main,flush,8.203,4.239
sync,main,index_transfer,12.445,0.266
sync,main,indexing,12.713,0.314
sync,main,submission,13.029,0.187
sync,main,staging,13.219,0.669
sync,main,admission_transfer,13.888,4.292
sync,main,staging,18.18,0.227
sync,main,initialization,18.408,0.6
sync,main,execution,19.011,1.627
sync,main,flush,20.639,4.238
sync,main,index_transfer,24.879,0.265
sync,main,indexing,25.146,0.318
sync,main,submission,25.467,0.185
async,epoch_ms,median_window,10.29,
sync,epoch_ms,median_window,12.49,
