size,mode,skew,mean_mtxn_s,min_mtxn_s,max_mtxn_s,n_reps
120B,cpu_only,0.01,9.023527889737618,9.017,9.027,3
120B,cpu_only,0.2,7.780634653595211,5.214,9.083,3
120B,cpu_only,0.4,8.786187404082398,8.724,8.844,3
120B,cpu_only,0.6,8.245743483973794,7.68,8.534,3
120B,cpu_only,0.8,6.867326260951533,5.685,8.689,3
120B,cpu_only,0.99,3.898366214213011,3.89,3.913,3
120B,hybrid_staging,0.01,8.734870045969679,8.118,9.395,3
120B,hybrid_staging,0.2,9.768628744355434,8.621,10.378,3
120B,hybrid_staging,0.4,10.882058516872783,9.585,11.632,3
120B,hybrid_staging,0.6,11.980040858287529,10.989,12.806,3
120B,hybrid_staging,0.8,14.529078013819017,13.109,15.351,3
120B,hybrid_staging,0.99,4.983695130071531,4.937,5.013,3
1KB,cpu_only,0.01,2.291438745605631,1.268,2.56,10
1KB,cpu_only,0.2,1.9108851552034927,1.073,2.549,10
1KB,cpu_only,0.4,2.3359860775218935,0.975,2.575,10
1KB,cpu_only,0.6,2.38083834588331,1.531,2.62,10
1KB,cpu_only,0.8,2.184083175030838,0.057,2.854,10
1KB,cpu_only,0.99,2.0068057315853998,0.029,2.916,10
1KB,hybrid_staging,0.01,1.5746648597055148,1.529,1.658,3
1KB,hybrid_staging,0.2,1.6916100038957316,1.657,1.743,3
1KB,hybrid_staging,0.4,1.9413730327679122,1.897,1.997,3
1KB,hybrid_staging,0.6,2.4652133517977384,2.399,2.556,3
1KB,hybrid_staging,0.8,3.625632064708475,3.584,3.668,3
1KB,hybrid_staging,0.99,3.5367175482878883,2.996,3.809,3
