bench,mode,skew,median_mtxn_s,n_reps
ycsba,gpu_only,0.01,34.558230618592326,3
ycsba,gpu_only,0.2,34.73428273706148,3
ycsba,gpu_only,0.4,35.01809268121863,3
ycsba,gpu_only,0.6,35.344015080113095,3
ycsba,gpu_only,0.8,16.25311518040958,3
ycsba,gpu_only,0.99,4.899799108236563,3
ycsba,hybrid_staging,0.01,17.557721007813186,3
ycsba,hybrid_staging,0.2,17.62766838830228,3
ycsba,hybrid_staging,0.4,18.53510858484446,3
ycsba,hybrid_staging,0.6,18.99190944657576,3
ycsba,hybrid_staging,0.8,13.268113185850885,3
ycsba,hybrid_staging,0.99,4.809465027173477,3
ycsbb,gpu_only,0.01,38.80481179666278,3
ycsbb,gpu_only,0.2,39.144050104384135,3
ycsbb,gpu_only,0.4,39.44254535892716,3
ycsbb,gpu_only,0.6,40.744261849789495,3
ycsbb,gpu_only,0.8,43.06632213608958,3
ycsbb,gpu_only,0.99,29.4811320754717,3
ycsbb,hybrid_staging,0.01,26.89208207463449,3
ycsbb,hybrid_staging,0.2,25.703637064644646,3
ycsbb,hybrid_staging,0.4,26.43800727926467,3
ycsbb,hybrid_staging,0.6,28.090150656841356,3
ycsbb,hybrid_staging,0.8,30.273674013078228,3
ycsbb,hybrid_staging,0.99,21.818181818181817,3
ycsbc,gpu_only,0.01,39.87240829346092,3
ycsbc,gpu_only,0.2,40.0320256204964,3
ycsbc,gpu_only,0.4,40.49129437171008,3
ycsbc,gpu_only,0.6,41.811846689895475,3
ycsbc,gpu_only,0.8,45.276184726833684,3
ycsbc,gpu_only,0.99,51.04645227156712,3
ycsbc,hybrid_staging,0.01,32.48722169280084,3
ycsbc,hybrid_staging,0.2,32.62075114716308,3
ycsbc,hybrid_staging,0.4,32.93807641633729,3
ycsbc,hybrid_staging,0.6,33.96469935580287,3
ycsbc,hybrid_staging,0.8,37.109423319561614,3
ycsbc,hybrid_staging,0.99,43.76495302561708,3
ycsbf,gpu_only,0.01,34.630035784370314,3
ycsbf,gpu_only,0.2,34.75440222428173,3
ycsbf,gpu_only,0.4,35.083615951350716,3
ycsbf,gpu_only,0.6,35.050823694356815,3
ycsbf,gpu_only,0.8,16.153349127719146,3
ycsbf,gpu_only,0.99,4.888302292613775,3
ycsbf,hybrid_staging,0.01,16.03454910847907,3
ycsbf,hybrid_staging,0.2,15.503555482057218,3
ycsbf,hybrid_staging,0.4,18.13258546491949,3
ycsbf,hybrid_staging,0.6,19.717384160368056,3
ycsbf,hybrid_staging,0.8,12.395567345117387,3
ycsbf,hybrid_staging,0.99,4.775906506854223,3
