mix,mode,warehouses,median_mtxn_s,min_mtxn_s,max_mtxn_s,n_reps
tpccdeck,hybrid_staging,4,5.504,5.491,5.517,3
tpccdeck,hybrid_staging,8,7.392,7.301,7.398,3
tpccdeck,hybrid_staging,16,8.717,8.668,8.732,3
tpccdeck,hybrid_staging,32,9.212,9.069,9.326,3
tpccdeck,hybrid_staging,64,8.865,8.764,8.893,3
tpccdeck,hybrid_staging,128,8.565,8.408,8.588,3
tpccdeck,gpu_only,4,7.484,7.454,7.522,3
tpccdeck,gpu_only,8,11.647,11.317,11.668,3
tpccdeck,gpu_only,16,16.109,15.296,16.124,3
tpccdeck,gpu_only,32,17.62,17.465,17.876,3
tpccdeck,gpu_only,64,18.422,17.835,18.979,3
tpccdeck,gpu_only,128,18.631,18.584,18.647,3
tpccdeck,cpu_only,4,5.748,5.643,5.813,3
tpccdeck,cpu_only,8,5.962,5.8,6.084,3
tpccdeck,cpu_only,16,6.161,6.015,6.283,3
tpccdeck,cpu_only,32,6.137,6.006,6.305,3
tpccdeck,cpu_only,64,6.249,5.749,6.338,3
tpccdeck,cpu_only,128,6.081,5.918,6.207,3
tpcc,hybrid_staging,4,6.202,6.184,6.242,3
tpcc,hybrid_staging,8,9.169,9.069,9.206,3
tpcc,hybrid_staging,16,12.113,11.764,12.166,3
tpcc,hybrid_staging,32,12.654,12.322,12.832,3
tpcc,hybrid_staging,64,12.3,12.172,12.313,3
tpcc,hybrid_staging,128,11.172,11.109,11.671,3
tpcc,hybrid_staging,160,11.156,11.062,11.324,3
tpcc,hybrid_staging,192,11.026,10.874,11.167,3
tpcc,hybrid_staging,208,10.516,9.549,10.898,3
tpcc,hybrid_staging,216,10.612,10.441,10.671,3
tpcc,hybrid_staging,240,10.275,10.105,10.749,3
tpcc,gpu_only,4,7.376,7.345,7.424,3
tpcc,gpu_only,8,12.173,12.134,12.19,3
tpcc,gpu_only,16,18.322,18.319,18.362,3
tpcc,gpu_only,32,22.508,22.307,24.19,3
tpcc,gpu_only,64,25.573,25.546,27.764,3
tpcc,gpu_only,128,27.438,27.38,27.49,3
tpcc,gpu_only,160,28.479,27.929,28.48,3
tpcc,gpu_only,192,28.266,28.231,28.294,3
tpcc,gpu_only,208,28.307,28.219,28.379,3
tpcc,cpu_only,4,7.405,7.018,7.454,3
tpcc,cpu_only,8,8.029,7.941,8.217,3
tpcc,cpu_only,16,7.957,7.912,8.449,3
tpcc,cpu_only,32,8.552,8.472,8.581,3
tpcc,cpu_only,64,8.592,8.141,8.784,3
tpcc,cpu_only,128,8.205,7.331,8.837,3
tpcc,cpu_only,160,8.761,8.758,8.982,3
tpcc,cpu_only,192,8.51,8.359,8.767,3
tpcc,cpu_only,208,8.967,8.814,8.97,3
tpcc,cpu_only,216,8.419,8.357,8.961,3
tpcc,cpu_only,240,7.765,7.53,8.445,3
