records,bench,mode,skew,mean_mtxn_s,min_mtxn_s,max_mtxn_s,n_reps
5M,ycsba,gpu_only,0.01,34.558,34.479,34.638,3
5M,ycsba,gpu_only,0.2,34.736,34.718,34.754,3
5M,ycsba,gpu_only,0.4,35.006,34.977,35.022,3
5M,ycsba,gpu_only,0.6,35.211,34.941,35.348,3
5M,ycsba,gpu_only,0.8,16.297,16.148,16.49,3
5M,ycsba,gpu_only,0.99,4.871,4.774,4.939,3
5M,ycsba,hybrid_staging,0.01,16.353,13.909,17.593,3
5M,ycsba,hybrid_staging,0.2,17.519,16.889,18.041,3
5M,ycsba,hybrid_staging,0.4,16.714,13.052,18.556,3
5M,ycsba,hybrid_staging,0.6,19.189,18.737,19.837,3
5M,ycsba,hybrid_staging,0.8,13.156,11.909,14.289,3
5M,ycsba,hybrid_staging,0.99,4.817,4.809,4.831,3
5M,ycsbb,gpu_only,0.01,38.84,38.79,38.926,3
5M,ycsbb,gpu_only,0.2,39.102,39.012,39.149,3
5M,ycsbb,gpu_only,0.4,39.446,39.391,39.505,3
5M,ycsbb,gpu_only,0.6,40.737,40.717,40.75,3
5M,ycsbb,gpu_only,0.8,43.036,42.833,43.209,3
5M,ycsbb,gpu_only,0.99,29.468,29.38,29.542,3
5M,ycsbb,hybrid_staging,0.01,26.841,26.64,26.992,3
5M,ycsbb,hybrid_staging,0.2,26.151,25.612,27.138,3
5M,ycsbb,hybrid_staging,0.4,24.917,21.01,27.304,3
5M,ycsbb,hybrid_staging,0.6,28.108,28.086,28.148,3
5M,ycsbb,hybrid_staging,0.8,30.213,30.075,30.292,3
5M,ycsbb,hybrid_staging,0.99,21.453,17.857,24.682,3
5M,ycsbc,gpu_only,0.01,40.015,39.851,40.323,3
5M,ycsbc,gpu_only,0.2,39.836,39.396,40.08,3
5M,ycsbc,gpu_only,0.4,40.462,40.366,40.53,3
5M,ycsbc,gpu_only,0.6,41.824,41.812,41.847,3
5M,ycsbc,gpu_only,0.8,45.285,45.174,45.406,3
5M,ycsbc,gpu_only,0.99,51.041,50.994,51.081,3
5M,ycsbc,hybrid_staging,0.01,32.489,32.47,32.509,3
5M,ycsbc,hybrid_staging,0.2,32.642,32.589,32.718,3
5M,ycsbc,hybrid_staging,0.4,32.935,32.922,32.945,3
5M,ycsbc,hybrid_staging,0.6,33.967,33.953,33.984,3
5M,ycsbc,hybrid_staging,0.8,37.119,37.094,37.154,3
5M,ycsbc,hybrid_staging,0.99,43.881,43.624,44.253,3
5M,ycsbf,gpu_only,0.01,34.613,34.518,34.69,3
5M,ycsbf,gpu_only,0.2,34.757,34.71,34.807,3
5M,ycsbf,gpu_only,0.4,35.075,35.055,35.088,3
5M,ycsbf,gpu_only,0.6,35.021,34.957,35.055,3
5M,ycsbf,gpu_only,0.8,16.2,16.009,16.437,3
5M,ycsbf,gpu_only,0.99,4.839,4.723,4.904,3
5M,ycsbf,hybrid_staging,0.01,15.427,12.562,17.684,3
5M,ycsbf,hybrid_staging,0.2,16.211,15.336,17.795,3
5M,ycsbf,hybrid_staging,0.4,16.966,14.298,18.467,3
5M,ycsbf,hybrid_staging,0.6,19.476,18.916,19.795,3
5M,ycsbf,hybrid_staging,0.8,10.874,7.614,12.614,3
5M,ycsbf,hybrid_staging,0.99,4.742,4.67,4.78,3
20M,ycsba,cpu_only,0.01,7.411,3.837,9.224,3
20M,ycsba,cpu_only,0.2,9.193,9.034,9.37,3
20M,ycsba,cpu_only,0.4,6.76,2.423,8.953,3
20M,ycsba,cpu_only,0.6,8.523,8.312,8.636,3
20M,ycsba,cpu_only,0.8,7.794,6.069,8.707,3
20M,ycsba,cpu_only,0.99,3.918,3.914,3.92,3
20M,ycsba,hybrid_staging,0.01,7.396,6.921,7.846,3
20M,ycsba,hybrid_staging,0.2,7.99,7.652,8.181,3
20M,ycsba,hybrid_staging,0.4,8.857,8.564,9.252,3
20M,ycsba,hybrid_staging,0.6,9.404,9.035,9.889,3
20M,ycsba,hybrid_staging,0.8,10.428,9.06,11.622,3
20M,ycsba,hybrid_staging,0.99,5.051,5.046,5.055,3
20M,ycsbb,cpu_only,0.01,12.099,9.767,12.541,10
20M,ycsbb,cpu_only,0.2,11.396,9.857,12.18,3
20M,ycsbb,cpu_only,0.4,10.41,8.733,12.295,3
20M,ycsbb,cpu_only,0.6,11.196,10.42,11.623,3
20M,ycsbb,cpu_only,0.8,8.912,8.787,9.006,3
20M,ycsbb,cpu_only,0.99,7.826,7.8,7.871,3
20M,ycsbb,hybrid_staging,0.01,9.456,9.299,9.547,3
20M,ycsbb,hybrid_staging,0.2,9.612,9.408,9.729,3
20M,ycsbb,hybrid_staging,0.4,10.677,10.423,11.029,3
20M,ycsbb,hybrid_staging,0.6,12.233,11.69,12.634,3
20M,ycsbb,hybrid_staging,0.8,19.051,17.931,19.653,3
20M,ycsbb,hybrid_staging,0.99,24.29,24.167,24.371,3
20M,ycsbc,cpu_only,0.01,12.749,10.919,13.666,3
20M,ycsbc,cpu_only,0.2,12.325,10.789,13.135,3
20M,ycsbc,cpu_only,0.4,12.558,10.252,13.723,3
20M,ycsbc,cpu_only,0.6,13.228,11.287,14.231,3
20M,ycsbc,cpu_only,0.8,11.688,10.747,12.291,3
20M,ycsbc,cpu_only,0.99,13.29,12.316,13.85,3
20M,ycsbc,hybrid_staging,0.01,10.712,10.466,10.838,3
20M,ycsbc,hybrid_staging,0.2,11.046,11.002,11.097,3
20M,ycsbc,hybrid_staging,0.4,12.622,12.595,12.645,3
20M,ycsbc,hybrid_staging,0.6,14.376,14.355,14.395,3
20M,ycsbc,hybrid_staging,0.8,22.788,22.66,22.904,3
20M,ycsbc,hybrid_staging,0.99,40.124,39.848,40.529,3
20M,ycsbf,cpu_only,0.01,9.098,8.976,9.168,3
20M,ycsbf,cpu_only,0.2,7.512,4.954,9.076,3
20M,ycsbf,cpu_only,0.4,8.941,8.845,9.043,3
20M,ycsbf,cpu_only,0.6,8.368,7.967,8.604,3
20M,ycsbf,cpu_only,0.8,6.868,5.946,8.6,3
20M,ycsbf,cpu_only,0.99,3.893,3.858,3.915,3
20M,ycsbf,hybrid_staging,0.01,6.503,4.759,8.185,3
20M,ycsbf,hybrid_staging,0.2,7.656,7.381,7.854,3
20M,ycsbf,hybrid_staging,0.4,8.103,6.956,9.181,3
20M,ycsbf,hybrid_staging,0.6,8.221,7.741,8.536,3
20M,ycsbf,hybrid_staging,0.8,10.784,10.241,11.804,3
20M,ycsbf,hybrid_staging,0.99,5.059,5.05,5.065,3
