skew,epoch,admitted_records_m_mean
0.01,1,0.9694
0.01,2,0.9104
0.01,3,0.8546
0.01,4,0.8026
0.01,5,0.7539
0.01,6,0.7078
0.01,7,0.6647
0.01,8,0.6247
0.01,9,0.5864
0.01,10,0.5607
0.01,11,0.5605
0.01,12,0.5604
0.01,13,0.5609
0.01,14,0.5605
0.01,15,0.5604
0.01,16,0.5601
0.01,17,0.5605
0.01,18,0.5608
0.01,19,0.5605
0.01,20,0.5599
0.01,21,0.5599
0.01,22,0.5606
0.01,23,0.5606
0.01,24,0.5603
0.01,25,0.5603
0.01,26,0.561
0.01,27,0.5601
0.01,28,0.5605
0.01,29,0.5608
0.01,30,0.5605
0.01,31,0.5606
0.01,32,0.5603
0.01,33,0.5605
0.01,34,0.5601
0.01,35,0.5605
0.01,36,0.5606
0.01,37,0.5605
0.01,38,0.561
0.01,39,0.5609
0.01,40,0.56
0.01,41,0.5603
0.01,42,0.5601
0.01,43,0.5608
0.01,44,0.5608
0.01,45,0.5607
0.01,46,0.5603
0.01,47,0.56
0.01,48,0.5603
0.01,49,0.5602
0.01,50,0.5605
0.01,51,0.5607
0.01,52,0.5604
0.01,53,0.5601
0.01,54,0.5606
0.01,55,0.5611
0.01,56,0.5605
0.01,57,0.5599
0.01,58,0.5601
0.01,59,0.5604
0.01,60,0.5605
0.01,61,0.5602
0.01,62,0.5604
0.01,63,0.5607
0.01,64,0.5607
0.01,65,0.5604
0.01,66,0.5602
0.01,67,0.561
0.01,68,0.5606
0.01,69,0.5608
0.01,70,0.5607
0.01,71,0.5607
0.01,72,0.5604
0.01,73,0.5607
0.01,74,0.5605
0.01,75,0.5599
0.01,76,0.5607
0.01,77,0.5606
0.01,78,0.5602
0.01,79,0.5607
0.01,80,0.5606
0.01,81,0.5603
0.01,82,0.5603
0.01,83,0.5601
0.01,84,0.5601
0.01,85,0.5604
0.01,86,0.5601
0.01,87,0.5601
0.01,88,0.5606
0.01,89,0.5606
0.01,90,0.5608
0.01,91,0.5607
0.01,92,0.5603
0.01,93,0.5602
0.01,94,0.5604
0.01,95,0.5604
0.01,96,0.5607
0.01,97,0.5603
0.01,98,0.5606
0.01,99,0.5604
0.01,100,0.5606
0.01,101,0.5605
0.01,102,0.5608
0.01,103,0.5603
0.01,104,0.5608
0.01,105,0.5603
0.01,106,0.5605
0.01,107,0.5606
0.01,108,0.561
0.01,109,0.5608
0.01,110,0.5608
0.01,111,0.5599
0.01,112,0.56
0.01,113,0.56
0.01,114,0.5601
0.01,115,0.5596
0.01,116,0.5602
0.01,117,0.5606
0.01,118,0.5601
0.01,119,0.5602
0.01,120,0.5603
0.01,121,0.5602
0.01,122,0.56
0.01,123,0.5603
0.01,124,0.5605
0.01,125,0.5604
0.01,126,0.5606
0.01,127,0.5601
0.01,128,0.5611
0.01,129,0.5603
0.01,130,0.5603
0.01,131,0.5601
0.01,132,0.5603
0.01,133,0.5601
0.01,134,0.5603
0.01,135,0.5605
0.01,136,0.5603
0.01,137,0.5605
0.01,138,0.5604
0.01,139,0.5604
0.01,140,0.5604
0.01,141,0.5602
0.01,142,0.56
0.01,143,0.56
0.01,144,0.5606
0.01,145,0.5601
0.01,146,0.5602
0.01,147,0.5601
0.01,148,0.56
0.01,149,0.5603
0.01,150,0.5608
0.01,151,0.5606
0.01,152,0.5608
0.01,153,0.5606
0.01,154,0.5608
0.01,155,0.5605
0.01,156,0.5603
0.01,157,0.5603
0.01,158,0.5605
0.01,159,0.5599
0.01,160,0.5602
0.01,161,0.5602
0.01,162,0.5604
0.01,163,0.5598
0.01,164,0.5601
0.01,165,0.5597
0.01,166,0.5603
0.01,167,0.5605
0.01,168,0.5602
0.01,169,0.5605
0.01,170,0.5602
0.01,171,0.5605
0.01,172,0.5605
0.01,173,0.56
0.01,174,0.56
0.01,175,0.5605
0.01,176,0.5603
0.01,177,0.561
0.01,178,0.5602
0.01,179,0.5605
0.01,180,0.5605
0.01,181,0.5602
0.01,182,0.5602
0.01,183,0.5606
0.01,184,0.5601
0.01,185,0.56
0.01,186,0.5603
0.01,187,0.56
0.01,188,0.5604
0.01,189,0.5603
0.01,190,0.5602
0.01,191,0.5608
0.01,192,0.5599
0.01,193,0.5605
0.01,194,0.5601
0.01,195,0.5606
0.01,196,0.5603
0.01,197,0.5607
0.01,198,0.5603
0.01,199,0.5606
0.01,200,0.5607
0.01,201,0.5606
0.01,202,0.5605
0.01,203,0.561
0.01,204,0.5607
0.01,205,0.5604
0.01,206,0.5604
0.01,207,0.5607
0.01,208,0.56
0.01,209,0.5601
0.01,210,0.5606
0.01,211,0.5603
0.01,212,0.5604
0.01,213,0.5602
0.01,214,0.5604
0.01,215,0.5603
0.01,216,0.5602
0.01,217,0.5599
0.01,218,0.5603
0.01,219,0.5604
0.01,220,0.5602
0.01,221,0.5609
0.01,222,0.5598
0.01,223,0.5603
0.01,224,0.5603
0.01,225,0.5601
0.01,226,0.5605
0.01,227,0.5607
0.01,228,0.5599
0.01,229,0.5603
0.01,230,0.5604
0.01,231,0.5603
0.01,232,0.5601
0.01,233,0.5604
0.01,234,0.5606
0.01,235,0.5601
0.01,236,0.5604
0.01,237,0.5606
0.01,238,0.5606
0.01,239,0.5609
0.01,240,0.56
0.01,241,0.5602
0.01,242,0.5601
0.01,243,0.5608
0.01,244,0.5604
0.01,245,0.5604
0.01,246,0.5602
0.01,247,0.56
0.01,248,0.5601
0.01,249,0.5607
0.01,250,0.5605
0.01,251,0.56
0.01,252,0.5604
0.01,253,0.5605
0.01,254,0.5602
0.01,255,0.5603
0.01,256,0.5601
0.01,257,0.5604
0.01,258,0.5603
0.01,259,0.5601
0.01,260,0.5605
0.01,261,0.5606
0.01,262,0.5605
0.01,263,0.5606
0.01,264,0.5607
0.01,265,0.5607
0.01,266,0.56
0.01,267,0.5606
0.01,268,0.5605
0.01,269,0.5601
0.01,270,0.5601
0.01,271,0.5598
0.01,272,0.5604
0.01,273,0.5599
0.01,274,0.56
0.01,275,0.5601
0.01,276,0.5599
0.01,277,0.5606
0.01,278,0.5605
0.01,279,0.5612
0.01,280,0.5599
0.01,281,0.5606
0.01,282,0.5609
0.01,283,0.5606
0.01,284,0.5605
0.01,285,0.5604
0.01,286,0.5611
0.01,287,0.5601
0.01,288,0.5602
0.01,289,0.5598
0.01,290,0.5601
0.01,291,0.5606
0.01,292,0.5602
0.01,293,0.5602
0.01,294,0.5603
0.01,295,0.5603
0.01,296,0.5606
0.01,297,0.5606
0.01,298,0.5603
0.01,299,0.5605
0.01,300,0.5607
0.2,1,0.9648
0.2,2,0.8982
0.2,3,0.8367
0.2,4,0.7798
0.2,5,0.7274
0.2,6,0.6792
0.2,7,0.6335
0.2,8,0.5922
0.2,9,0.5532
0.2,10,0.5179
0.2,11,0.5197
0.2,12,0.5215
0.2,13,0.5188
0.2,14,0.5212
0.2,15,0.5231
0.2,16,0.5231
0.2,17,0.5233
0.2,18,0.5219
0.2,19,0.5213
0.2,20,0.5198
0.2,21,0.5198
0.2,22,0.5196
0.2,23,0.5206
0.2,24,0.5214
0.2,25,0.5211
0.2,26,0.5209
